"sam1","sam2","n1","n2","coph","dna","ess"
535705,12281290,76888,29941,5800,1.98034168357492,0.048335581905648
10900878,13945464,348733,14005,3300,0.326464117690339,0.00424899216901431
10451857,13619736,40585,22301,1200,0.841027621320324,0.0159082603042411
8220774,15932251,14005,155369,1000,1.98120502162539,0.0430005264084341
16662295,13995591,86376,19280,2300,0.176990767016424,0.00686393793683282
3590152,3399525,33207,27383,2800,1.17309610233332,0.0122940311359242
11622459,5172867,21889,22301,4900,1.8702849879393,0.00807800224150468
10994787,5886442,27052,42057,800,0.154058619626167,0.0103221238292948
4275859,4826958,33878,18027,2100,1.15068793877865,0.0115166086230492
14486431,16559135,359549,356356,400,0.0151179166742299,0.000879417683709582
13239518,8943272,19280,68909,2100,0.146392581409519,0.0246584981035226
2337226,1460449,32021,30236,3200,1.58467361725615,0.00395104516679923
5076623,6549988,32021,22301,700,1.5018323058757,0.00557429018513311
7390209,6548412,118308,106877,9800,0.042479234541029,0.0106685183379854
12047623,3831072,56868,32987,2600,1.99629856829226,0.0334037171288099
2344832,10413807,28852,33777,5100,0.498652020072002,0.0310072938535629
9073889,4000307,552409,32987,8900,1.09854350377608,0.0172748892242479
390534,13565188,32987,331953,1000,1.07221277434067,0.00650847432666435
16644103,16534070,86376,19280,2300,0.0864491334291048,0.011930637883416
15315714,6325054,22301,445995,1600,1.95870470296276,0.00649321053012486
10182976,16003555,17428,19280,700,0.0228952270548222,0.00392980240501695
1476695,12548372,22446,247037,2300,1.96637410380612,0.0116060588532418
7968304,4986334,82546,32987,10600,0.33363610756598,0.00994394617520633
15509526,13836525,403375,27153,1600,0.00223706875034835,0.0237331690372132
4627590,12032525,22301,348733,2100,1.11304071645549,0.0238980794291307
7286888,4703555,34708,44500,600,0.0525495077769493,0.00324859429384194
2655020,2142817,36097,26059,500,7.47494570719764e-05,0.00633276308357011
12760957,5840968,169910,22301,1200,1.58289002682743,0.0270781475217892
116441,6812708,12774,16376,4900,1.73207007806153,0.00913448103972736
11383290,2379075,90237,52592,6500,0.70682160735713,0.028015696860103
12837200,9437669,23226,156696,9600,1.99260218991341,0.00648197648798765
15530174,3108502,19280,406737,3000,1.9445911300243,0.024048897019651
