"V1","V2","weight","height","size1","size1mean","size1norm"
"L5_116060","L6_107262","100","1500","12950",81120.8357142857,0.159638394821411
"L4_141683","L5_117736","200","1400","10738",66604.3793103448,0.161220630102504
"L5_117736","L6_108752","100","1500","12884",81120.8357142857,0.158824793735835
"L5_125348","L6_115771","100","1500","16083",81120.8357142857,0.198259791807935
"L5_121125","L6_111889","100","1500","67954",81120.8357142857,0.837688608625034
"L5_141209","L6_130293","100","1500","20094",81120.8357142857,0.247704548690459
"L4_197102","L5_165642","200","1400","10978",66604.3793103448,0.164823996765254
"L5_165642","L6_153240","100","1500","11080",81120.8357142857,0.136586364063416
"L5_166044","L6_153622","100","1500","31510",81120.8357142857,0.388432881916809
"L5_174569","L6_161589","100","1500","20502",81120.8357142857,0.252734082674021
"L4_216861","L5_183010","200","1400","10351",66604.3793103448,0.155410201358821
"L5_183010","L6_169545","100","1500","203789",81120.8357142857,2.5121659337653
"L5_206310","L6_191884","100","1500","53332",81120.8357142857,0.657438986302357
"L5_206493","L6_192048","100","1500","38730",81120.8357142857,0.477435909763187
"L4_242885","L5_206923","200","1400","11700",66604.3793103448,0.175664124809024
"L5_206923","L6_192450","100","1500","13364",81120.8357142857,0.164741892540026
"L5_208791","L6_194187","100","1500","70446",81120.8357142857,0.868408213250128
"L4_253787","L5_215866","200","1400","10374",66604.3793103448,0.155755523997335
"L5_215866","L6_200579","100","1500","10684",81120.8357142857,0.131704757549958
"L4_254370","L5_216319","200","1400","12993",66604.3793103448,0.195077262704586
"L5_216319","L6_200578","100","1500","29334",81120.8357142857,0.361608700671142
"L4_255282","L5_216666","200","1400","25566",66604.3793103448,0.38384863374936
"L5_216666","L6_201255","100","1500","105251",81120.8357142857,1.29745951299987
"L4_256390","L5_217721","200","1400","19949",66604.3793103448,0.299514839813267
"L5_217721","L6_202139","100","1500","25077",81120.8357142857,0.30913143065147
"L5_219141","L6_203398","100","1500","19322",81120.8357142857,0.238187881447051
"L5_221397","L6_205452","100","1500","16686",81120.8357142857,0.205693147180701
"L4_263174","L5_223097","200","1400","10671",66604.3793103448,0.160214690242487
"L5_223097","L6_206216","100","1500","13986",81120.8357142857,0.172409466407124
"L5_223753","L6_207538","100","1500","16920",81120.8357142857,0.208577732847744
"L5_221271","L6_196881","100","1500","17936",81120.8357142857,0.221102258649949
"L4_275907","L5_233351","200","1400","12988",66604.3793103448,0.195002192565778
"L5_233351","L6_194039","100","1500","14795",81120.8357142857,0.182382243350022
"L5_236031","L6_218636","100","1500","15203",81120.8357142857,0.187411777333584
"L4_283948","L5_239881","200","1400","17887",66604.3793103448,0.268555914569147
"L5_239881","L6_222161","100","1500","30932",81120.8357142857,0.381307708773429
"L5_240942","L6_223138","100","1500","94420",81120.8357142857,1.16394264394113
"L5_241232","L6_223407","100","1500","23458",81120.8357142857,0.2891735494765
"L5_242191","L6_224285","100","1500","61046",81120.8357142857,0.752531695001381
"L5_243585","L6_225560","100","1500","84441",81120.8357142857,1.04092862525983
"L5_245078","L6_226953","100","1500","133642",81120.8357142857,1.64744357997862
"L5_246061","L6_227851","100","1500","16394",81120.8357142857,0.202093578741484
"L4_292501","L5_247037","200","1400","19697",66604.3793103448,0.29573130481738
"L5_247037","L6_228710","100","1500","32807",81120.8357142857,0.404421375977301
"L4_292529","L5_247038","200","1400","13069",66604.3793103448,0.196218328814456
"L5_247038","L6_228710","100","1500","23458",81120.8357142857,0.2891735494765
"L4_292745","L5_247213","200","1400","10592",66604.3793103448,0.159028582049332
"L5_247213","L6_228858","100","1500","53402",81120.8357142857,0.658301896544634
"L4_293530","L5_247755","200","1400","10910",66604.3793103448,0.163803042877475
"L5_247755","L6_229351","100","1500","50360",81120.8357142857,0.620802282873072
"L5_253494","L6_234715","100","1500","25149",81120.8357142857,0.310018995472099
"L5_255695","L6_236769","100","1500","32045",81120.8357142857,0.395027981625647
"L5_254508","L6_235648","100","1500","46078",81120.8357142857,0.568016830624015
"L5_259900","L6_240649","100","1500","65454",81120.8357142857,0.806870385686538
"L5_266766","L6_246942","100","1500","17074",81120.8357142857,0.210476135380755
"L5_276879","L6_256207","100","1500","29033",81120.8357142857,0.357898186629347
"L5_277173","L6_256473","100","1500","57802",81120.8357142857,0.712541968916388
"L5_275382","L6_254807","100","1500","25883",81120.8357142857,0.319067225726841
"L5_279465","L6_44116","100","1500","97847",81120.8357142857,1.20618826394522
"L4_331953","L5_279522","200","1400","10680",66604.3793103448,0.16034981649234
"L5_279522","L6_44116","100","1500","20459",81120.8357142857,0.252204009239479
"L5_279618","L6_44116","100","1500","51010",81120.8357142857,0.628815020837081
"L5_279727","L6_44116","100","1500","22258",81120.8357142857,0.274380802466021
"L5_281016","L6_259819","100","1500","49984",81120.8357142857,0.616167222143122
"L4_336840","L5_283124","200","1400","10285",66604.3793103448,0.154419275526565
"L5_283124","L6_261462","100","1500","125683",81120.8357142857,1.54933068543162
"L4_340088","L5_285456","200","1400","13640",66604.3793103448,0.204791338666247
"L5_285456","L6_44116","100","1500","16653",81120.8357142857,0.205286346637912
"L5_286647","L6_264724","100","1500","72173",81120.8357142857,0.889697441656041
"L5_289260","L6_267025","100","1500","16542",81120.8357142857,0.203918017539443
"L5_290492","L6_268128","100","1500","51788",81120.8357142857,0.638405651815541
"L5_309118","L6_284445","100","1500","50241",81120.8357142857,0.6193353354612
"L4_375214","L5_312783","200","1400","10117",66604.3793103448,0.151896918862641
"L5_312783","L6_287760","100","1500","10475",81120.8357142857,0.1291283541123
"L5_286366","L6_264355","100","1500","19025",81120.8357142857,0.234526676561958
"L6_392","L7_374","100","1600","11416",90145.7555555556,0.126639351233398
"L6_931","L7_909","100","1600","11118",90145.7555555556,0.123333593816828
"L5_4633","L6_4479","100","1500","10127",81120.8357142857,0.124838457479261
"L6_4479","L7_4330","100","1600","10155",90145.7555555556,0.112650894514292
"L6_7910","L7_7629","100","1600","14680",90145.7555555556,0.162847378775953
"L6_3687","L7_3576","100","1600","14810",90145.7555555556,0.164289487716067
"L6_10842","L7_10454","100","1600","12092",90145.7555555556,0.13413831772199
"L6_15406","L7_14855","100","1600","10866",90145.7555555556,0.120538121102146
"L5_16182","L6_15628","100","1500","10835",81120.8357142857,0.133566178215444
"L6_15628","L7_15068","100","1600","11965",90145.7555555556,0.132729488218956
"L6_20323","L7_19519","100","1600","14242",90145.7555555556,0.157988580962338
